Wed Oct  8 08:52:58 2025

ring_data_test():
  python version: 3.10.12
  numpy version:  1.26.4
  ring_data() creates, plots, and saves ring data.

RING_INPUT_PRINT:

     I   Pop        Rad1        Rad2

     0    40      1.0000      3.0000
     1    60      6.0000      7.0000
     2   100      9.0000     10.0000

RING_DATA_PRINT:

     I    ID           R           X           Y
    52     1      6.1533      4.8536      3.7823
    53     1      6.4088      6.2843      1.2571
    54     1      6.6657      6.6503     -0.4536
    55     0      2.8780     -2.7733      0.7691
    56     1      6.8187     -0.1837     -6.8163
    57     0      1.0478     -0.5039     -0.9187
    58     0      1.9377      0.6295      1.8326
    59     2      9.8629     -1.9474     -9.6687
    60     0      1.6222     -1.3308     -0.9277
    61     1      6.6744      5.3937     -3.9314
    62     2      9.4073     -6.4353     -6.8618
    63     2      9.2849     -1.7200     -9.1242
    64     1      6.8480      2.0116      6.5459
    65     2      9.7850     -6.6502     -7.1778
    66     0      1.2959      0.4694      1.2079
    67     2      9.0413     -5.0314     -7.5120
    68     1      6.7649      6.6247     -1.3700
    69     2      9.3626      8.6765     -3.5179
    70     2      9.2032      3.7098      8.4223
    71     1      6.7647     -6.7062      0.8878
    72     2      9.7310      4.3427     -8.7082
    73     0      2.7166      2.0245      1.8114
    74     1      6.7389      5.3929      4.0409
    75     1      6.0206     -5.5580      2.3145
    76     0      2.6113     -2.3799     -1.0747
    77     1      6.6616      1.7997     -6.4139
    78     1      6.8619     -0.9353     -6.7978
    79     0      2.6240      1.5959      2.0829
    80     1      6.3590      2.3434      5.9115
    81     1      6.0184     -1.4342     -5.8451
    82     2      9.9333     -1.3573     -9.8402
    83     1      6.2942      2.2315      5.8854
    84     0      1.9031     -0.4206      1.8561
    85     2      9.5191     -6.9943     -6.4570
    86     0      2.6014     -2.2701      1.2704
    87     2      9.5209     -9.3842      1.6076
    88     1      6.1041      3.3547     -5.0996
    89     2      9.8295     -9.7964     -0.8066
    90     2      9.5743      8.9455     -3.4124
    91     1      6.4676     -1.5227     -6.2858
    92     0      1.3316      1.2369      0.4931
    93     2      9.7453      0.2025     -9.7432
    94     0      1.0654      0.7109     -0.7935
    95     1      6.2795      0.8293      6.2245
    96     2      9.7483     -7.9944      5.5785
    97     2      9.2705     -7.0846     -5.9792
    98     1      6.5888      2.2468      6.1938
    99     1      6.3616      5.1496     -3.7351
   100     1      6.4436      3.6228      5.3287
   101     1      6.4451      6.2579     -1.5422
   102     1      6.0909     -3.4946      4.9887
   103     2      9.4998     -0.6175      9.4797
   104     2      9.1944      8.3231      3.9069
   105     2      9.7353      8.5845     -4.5915
   106     2      9.7751     -0.3449      9.7690
   107     2      9.8774      4.4438     -8.8213
   108     1      6.9213     -2.8651     -6.3005
   109     2      9.7449     -8.7854      4.2165
   110     0      2.9587      1.4470      2.5807
   111     0      2.9475      1.5305     -2.5189
   112     1      6.2524      5.3436      3.2462
   113     1      6.3919      3.7553      5.1725
   114     0      2.1409      1.4778      1.5491
   115     1      6.2545      5.1004     -3.6200
   116     2      9.4071      6.2608      7.0210
   117     2      9.3015     -3.9114      8.4391
   118     1      6.4725      0.5087     -6.4525
   119     1      6.6063      4.5274     -4.8111
   120     2      9.8504      9.5680     -2.3421
   121     1      6.3378     -5.5775     -3.0099
   122     2      9.0586     -7.6055     -4.9208
   123     2      9.4349     -0.0120      9.4349
   124     0      2.6986     -1.2362     -2.3988
   125     2      9.6611      8.9340     -3.6771
   126     1      6.8046      6.5414      1.8741
   127     2      9.0592     -1.5762     -8.9211
   128     2      9.6899     -0.1346     -9.6889
   129     1      6.4582      3.8838      5.1599
   130     2      9.9236      8.1514      5.6598
   131     0      2.5215     -0.8946     -2.3575
   132     2      9.6825      0.6056     -9.6635
   133     1      6.9111     -4.8740     -4.8997
   134     2      9.6160      3.7444     -8.8570
   135     2      9.2359      5.1453      7.6699
   136     2      9.5860      9.2748      2.4228
   137     2      9.7790      1.6626      9.6366
   138     2      9.0145      8.9737      0.8571
   139     1      6.4963     -1.9622      6.1929
   140     0      1.1040      0.3171      1.0574
   141     2      9.3420     -9.3416      0.0859
   142     2      9.5020     -8.7083     -3.8019
   143     1      6.1303      3.3589      5.1282
   144     2      9.6104     -3.5000      8.9504
   145     0      2.8422     -0.9806     -2.6677
   146     0      1.9568     -1.8837      0.5297
   147     1      6.1959      2.8570      5.4979
   148     2      9.6564      4.3135     -8.6394
   149     0      1.1740      0.9395      0.7040
   150     2      9.9725     -5.4506      8.3512
   151     2      9.6714     -8.3191     -4.9324
   152     1      6.5647      3.5644      5.5128
   153     0      1.0865      1.0829      0.0884
   154     0      2.7189      2.7187      0.0284
   155     1      6.7266      0.6425     -6.6958
   156     2      9.3003     -3.5921      8.5786
   157     2      9.0610     -3.6786      8.2807
   158     0      2.7560      2.7559     -0.0094
   159     2      9.9569      7.9535      5.9901
   160     2      9.4969      6.4303     -6.9887
   161     2      9.3418      3.8832     -8.4965
   162     2      9.9050      9.8823      0.6694
   163     2      9.3450     -0.1477      9.3438
   164     2      9.2008     -1.8016     -9.0227
   165     2      9.8506     -3.1535      9.3321
   166     1      6.8803      0.0348     -6.8802
   167     1      6.6494     -6.1584      2.5075
   168     2      9.2816     -7.4881     -5.4842
   169     0      1.0674      0.9090     -0.5595
   170     2      9.0861     -5.3410      7.3506
   171     1      6.5388     -3.8226      5.3050
   172     2      9.4616      9.4433      0.5879
   173     2      9.7233      9.7039      0.6134
   174     2      9.1421      2.5832     -8.7696
   175     1      6.0867      5.2870      3.0157
   176     2      9.6469     -9.1965     -2.9131
   177     0      1.0312      1.0115     -0.2010
   178     2      9.3083     -8.0902     -4.6037
   179     0      1.9582      1.7967      0.7789
   180     1      6.8366      3.1440     -6.0708
   181     0      1.2639      0.7988      0.9795
   182     2      9.8404      7.7611      6.0496
   183     2      9.5547     -8.3886     -4.5742
   184     0      1.7665      1.7456     -0.2712
   185     1      6.3786     -0.3763      6.3675
   186     1      6.7217     -6.1276      2.7629
   187     2      9.9736     -0.3975      9.9656
   188     2      9.8932      4.0279     -9.0361
   189     2      9.7952     -7.4646     -6.3424
   190     2      9.0518      5.9303      6.8386
   191     2      9.6193      1.1255     -9.5532
   192     2      9.8228     -8.9367      4.0772
   193     2      9.8839      0.7751      9.8535
   194     1      6.0045     -5.6152      2.1267
   195     2      9.8627      5.9925      7.8335
   196     2      9.2392      6.5702      6.4958
   197     1      6.6869     -5.4242      3.9107
   198     1      6.2882      6.1941      1.0836
   199     2      9.4946     -9.3551     -1.6213
  Graphics saved as "ring_data.png"

ring_data_test():
  Normal end of execution.
Wed Oct  8 08:52:59 2025
