Wed Oct  8 08:46:09 2025

poisson_2d_test():
  python version: 3.10.12
  numpy version:  1.26.4
  Test poisson_2d().

poisson_2d():
  A program for solving the Poisson equation:
    -DEL^2 U = F(X,Y)
  on the rectangle 0 <= X <= 1, 0 <= Y <= 1.

  F(X,Y) = pi^2 * ( x^2 + y^2 ) * sin ( pi * x * y )

  The number of X grid points is  11
  The number of Y grid points is  11
  The X grid spacing is  0.1
  The Y grid spacing is  0.1
  RMS of F =  0.43774037729931964
  RMS of exact solution U =  0.05459070004171762

Step    |Unew|     |Unew-U|     |Unew-Exact|
 65     0.0534994   8.00405e-05    0.00149769
 66     0.0535551   7.61227e-05    0.00142159
 67     0.0536082   7.23967e-05    0.00134921
 68     0.0536587   6.88531e-05    0.00128038
 69     0.0537068    6.5483e-05    0.00121492
 70     0.0537525   6.22778e-05    0.00115267
 71      0.053796   5.92296e-05    0.00109346
 72     0.0538374   5.63306e-05    0.00103715
 73     0.0538768   5.35735e-05   0.000983605
 74     0.0539143   5.09514e-05   0.000932679
 75       0.05395   4.84576e-05   0.000884248
 76     0.0539839   4.60858e-05    0.00083819
 77     0.0540162   4.38302e-05   0.000794389
 78     0.0540469    4.1685e-05   0.000752735
 79     0.0540761   3.96447e-05   0.000713122
 80     0.0541039   3.77044e-05   0.000675451
 81     0.0541304    3.5859e-05   0.000639628
 82     0.0541556   3.41039e-05   0.000605561
 83     0.0541795   3.24347e-05   0.000573166
 84     0.0542023   3.08472e-05    0.00054236
 85     0.0542239   2.93374e-05   0.000513066
 86     0.0542445   2.79016e-05   0.000485211
 87     0.0542641    2.6536e-05   0.000458724
 88     0.0542828   2.52372e-05   0.000433539
 89     0.0543005    2.4002e-05   0.000409593
 90     0.0543174   2.28273e-05   0.000386825
 91     0.0543335     2.171e-05   0.000365178
 92     0.0543488   2.06474e-05   0.000344597
 93     0.0543633   1.96369e-05   0.000325032
 94     0.0543771   1.86758e-05   0.000306432
 95     0.0543902   1.77617e-05   0.000288752
 96     0.0544027   1.68924e-05   0.000271947
 97     0.0544146   1.60656e-05   0.000255975
 98      0.054426   1.52793e-05   0.000240797
 99     0.0544367   1.45315e-05   0.000226373
100      0.054447   1.38203e-05   0.000212669
101     0.0544567   1.31439e-05   0.000199651
102      0.054466   1.25006e-05   0.000187286
103     0.0544748   1.18887e-05   0.000175544
104     0.0544831   1.13069e-05   0.000164397
105     0.0544911   1.07535e-05   0.000153816
106     0.0544987   1.02271e-05   0.000143777
107     0.0545059    9.7266e-06   0.000134256
108     0.0545128   9.25054e-06    0.00012523
109     0.0545193   8.79779e-06   0.000116678
110     0.0545255   8.36719e-06   0.000108581
111     0.0545314   7.95767e-06   0.000100922
112      0.054537    7.5682e-06   9.36832e-05
113     0.0545423   7.19778e-06    8.6851e-05
114     0.0545474    6.8455e-06   8.04124e-05
115     0.0545522   6.51046e-06   7.43563e-05
116     0.0545568   6.19181e-06   6.86738e-05
117     0.0545612   5.88876e-06   6.33581e-05
118     0.0545654   5.60055e-06   5.84045e-05
119     0.0545693   5.32644e-06   5.38112e-05
120     0.0545731   5.06574e-06    4.9579e-05
121     0.0545766   4.81781e-06   4.57115e-05
122       0.05458   4.58201e-06   4.22151e-05
123     0.0545833   4.35775e-06   3.90984e-05
124     0.0545863   4.14446e-06   3.63716e-05
125     0.0545893   3.94162e-06   3.40448e-05
126     0.0545921    3.7487e-06   3.21255e-05
127     0.0545947   3.56523e-06    3.0616e-05
128     0.0545972   3.39073e-06   2.95101e-05
129     0.0545996   3.22478e-06   2.87914e-05
130     0.0546019   3.06695e-06   2.84322e-05
131     0.0546041   2.91684e-06   2.83953e-05
132     0.0546061   2.77408e-06   2.86372e-05
133     0.0546081   2.63831e-06   2.91116e-05
134     0.0546099   2.50918e-06   2.97734e-05
135     0.0546117   2.38637e-06   3.05811e-05
136     0.0546134   2.26957e-06   3.14981e-05
137      0.054615   2.15849e-06   3.24935e-05
138     0.0546165   2.05285e-06   3.35419e-05
139      0.054618   1.95238e-06   3.46224e-05
140     0.0546193   1.85682e-06   3.57189e-05
141     0.0546207   1.76594e-06   3.68183e-05
142     0.0546219   1.67951e-06   3.79107e-05
143     0.0546231   1.59731e-06   3.89883e-05
144     0.0546242   1.51913e-06   4.00454e-05
145     0.0546253   1.44478e-06   4.10777e-05
146     0.0546263   1.37407e-06    4.2082e-05
147     0.0546273   1.30681e-06   4.30561e-05
148     0.0546282   1.24285e-06   4.39985e-05
149     0.0546291   1.18202e-06   4.49083e-05
150     0.0546299   1.12417e-06   4.57852e-05
151     0.0546307   1.06915e-06    4.6629e-05
152     0.0546315   1.01682e-06   4.74399e-05
153     0.0546322   9.67056e-07   4.82184e-05
  The iteration has converged.

poisson_2d_test():
  Normal end of execution.
Wed Oct  8 08:46:09 2025
