Wed Oct  8 07:53:20 2025

hexagon_monte_carlo_test():
  python version: 3.10.12
  numpy version:  1.26.4
  Test hexagon_monte_carlo().

hexagon01_monte_carlo_test01():
  hexagon01_monte_carlo() estimates
  monomial integrals x^p y^q over the unit hexagon.

   N  P   Q             Nu(P,Q)
       4   4   2      0.00685058
       8   4   2       0.0163048
      16   4   2       0.0398112
      32   4   2       0.0192411
      64   4   2       0.0170937
     128   4   2       0.0167928
     256   4   2       0.0193555
     512   4   2       0.0211907
    1024   4   2        0.021629
    2048   4   2       0.0213111
    4096   4   2       0.0205621
    8192   4   2       0.0207457
   16384   4   2       0.0209151
   32768   4   2       0.0211251
   Exact   4   2       0.0211674

       1   2   4        0.171209
       2   2   4        0.042335
       4   2   4       0.0143269
       8   2   4       0.0153313
      16   2   4       0.0249915
      32   2   4       0.0292744
      64   2   4       0.0310105
     128   2   4       0.0256452
     256   2   4       0.0233744
     512   2   4       0.0250591
    1024   2   4       0.0278433
    2048   2   4       0.0271097
    4096   2   4       0.0272576
    8192   2   4       0.0276345
   16384   2   4       0.0270264
   32768   2   4       0.0274293
   Exact   2   4       0.0269666

       1   0   6     1.00278e-09
       2   0   6        0.362343
       4   0   6       0.0914175
       8   0   6       0.0509367
      16   0   6        0.118786
      32   0   6        0.142222
      64   0   6       0.0838147
     128   0   6        0.111706
     256   0   6         0.10479
     512   0   6        0.112727
    1024   0   6        0.123062
    2048   0   6        0.113804
    4096   0   6        0.109092
    8192   0   6          0.1203
   16384   0   6        0.118204
   32768   0   6        0.116666
   Exact   0   6        0.117435

       1   8   0     2.40981e-07
       2   8   0     1.65891e-08
       4   8   0       0.0628819
       8   8   0        0.183851
      16   8   0       0.0506842
      32   8   0       0.0788764
      64   8   0        0.115339
     128   8   0        0.135555
     256   8   0       0.0834257
     512   8   0       0.0966437
    1024   8   0       0.0671666
    2048   8   0       0.0878049
    4096   8   0       0.0829226
    8192   8   0       0.0744753
   16384   8   0       0.0779763
   32768   8   0       0.0772169
   Exact   8   0       0.0769049

       1   6   2     2.22541e-06
       2   6   2     0.000311886
       4   6   2      0.00518355
       8   6   2        0.022133
      16   6   2       0.0101024
      32   6   2      0.00637493
      64   6   2      0.00675539
     128   6   2      0.00761377
     256   6   2      0.00785081
     512   6   2      0.00787089
    1024   6   2      0.00864735
    2048   6   2      0.00705955
    4096   6   2      0.00782836
    8192   6   2      0.00777167
   16384   6   2      0.00790805
   32768   6   2      0.00781054
   Exact   6   2      0.00779681

       1   4   4       0.0125841
       2   4   4      0.00173638
       4   4   4       0.0161102
       8   4   4      0.00892068
      16   4   4      0.00377031
      32   4   4      0.00747297
      64   4   4      0.00625523
     128   4   4      0.00458511
     256   4   4      0.00487735
     512   4   4      0.00640388
    1024   4   4      0.00631426
    2048   4   4      0.00635275
    4096   4   4      0.00620375
    8192   4   4      0.00614433
   16384   4   4      0.00619016
   32768   4   4       0.0061263
   Exact   4   4      0.00616656

       1   2   6       0.0168276
       2   2   6      0.00487357
       4   2   6       0.0244374
       8   2   6       0.0050904
      16   2   6        0.020051
      32   2   6      0.00761429
      64   2   6       0.0063294
     128   2   6        0.017619
     256   2   6      0.00976387
     512   2   6       0.0123805
    1024   2   6       0.0120075
    2048   2   6       0.0130454
    4096   2   6       0.0124648
    8192   2   6       0.0126053
   16384   2   6       0.0130285
   32768   2   6       0.0129345
   Exact   2   6       0.0127584

       1   0   8      0.00308425
       2   0   8       0.0198448
       4   0   8       0.0100951
       8   0   8       0.0849223
      16   0   8       0.0516142
      32   0   8        0.095322
      64   0   8       0.0366294
     128   0   8       0.0501256
     256   0   8       0.0767913
     512   0   8       0.0611136
    1024   0   8       0.0661678
    2048   0   8       0.0688722
    4096   0   8         0.06919
    8192   0   8       0.0684776
   16384   0   8       0.0661166
   32768   0   8       0.0660021
   Exact   0   8       0.0669817

       1  10   0        0.148966
       2  10   0     9.16744e-06
       4  10   0     4.27991e-05
       8  10   0        0.108297
      16  10   0        0.111877
      32  10   0       0.0703805
      64  10   0       0.0292823
     128  10   0       0.0362588
     256  10   0       0.0377392
     512  10   0       0.0534426
    1024  10   0       0.0512737
    2048  10   0        0.054145
    4096  10   0       0.0462964
    8192  10   0       0.0517736
   16384  10   0       0.0511618
   32768  10   0       0.0523837
   Exact  10   0       0.0524736

       1   8   2     2.39709e-05
       2   8   2     0.000428381
       4   8   2      0.00079661
       8   8   2      0.00255784
      16   8   2      0.00195549
      32   8   2      0.00341049
      64   8   2      0.00244664
     128   8   2      0.00254656
     256   8   2      0.00378528
     512   8   2       0.0029378
    1024   8   2      0.00357823
    2048   8   2      0.00342741
    4096   8   2      0.00342194
    8192   8   2       0.0034172
   16384   8   2      0.00344612
   32768   8   2       0.0034965
   Exact   8   2      0.00343161

       1   6   4       0.0057067
       2   6   4     0.000310013
       4   6   4      0.00142668
       8   6   4      0.00287931
      16   6   4      0.00274247
      32   6   4      0.00221648
      64   6   4      0.00121425
     128   6   4      0.00157265
     256   6   4      0.00206893
     512   6   4      0.00162654
    1024   6   4      0.00185604
    2048   6   4      0.00173992
    4096   6   4      0.00175486
    8192   6   4      0.00173669
   16384   6   4      0.00186241
   32768   6   4      0.00184234
   Exact   6   4      0.00181337

       1   4   6     8.04209e-07
       2   4   6      0.00224051
       4   4   6     2.19912e-05
       8   4   6      0.00540481
      16   4   6      0.00121573
      32   4   6      0.00163165
      64   4   6      0.00407431
     128   4   6      0.00186665
     256   4   6      0.00264513
     512   4   6       0.0023651
    1024   4   6       0.0025608
    2048   4   6       0.0023422
    4096   4   6       0.0025791
    8192   4   6       0.0025992
   16384   4   6      0.00257429
   32768   4   6      0.00256663
   Exact   4   6      0.00261297

       1   2   8      0.00828903
       2   2   8      0.00851253
       4   2   8     0.000928224
       8   2   8     0.000606993
      16   2   8      0.00254006
      32   2   8      0.00486859
      64   2   8      0.00962591
     128   2   8      0.00821609
     256   2   8      0.00790307
     512   2   8      0.00705545
    1024   2   8      0.00805207
    2048   2   8      0.00628935
    4096   2   8      0.00680103
    8192   2   8      0.00714072
   16384   2   8      0.00709129
   32768   2   8      0.00702209
   Exact   2   8      0.00689653

       1   0  10     1.12525e-08
       2   0  10        0.174705
       4   0  10       0.0458204
       8   0  10       0.0705137
      16   0  10       0.0486377
      32   0  10       0.0762266
      64   0  10        0.049195
     128   0  10       0.0468204
     256   0  10       0.0538725
     512   0  10       0.0400667
    1024   0  10       0.0409383
    2048   0  10       0.0390921
    4096   0  10       0.0396447
    8192   0  10       0.0407179
   16384   0  10        0.039454
   32768   0  10       0.0390809
   Exact   0  10       0.0404796

hexagon_monte_carlo_test():
  Normal end of execution.
Wed Oct  8 07:53:20 2025
